"Which CNCF project(s) do you primarily contribute to?
Specify the project(s) where you are most active (e.g., Kubernetes, Prometheus, Argo).","What is your primary contributor role?
Select the role that best describes your core activities within the community.","How long have you been contributing to CNCF projects?
This helps us understand if AI adoption patterns differ between seasoned maintainers and new contributors.","Do any of the projects you contribute to currently disclose the usage of AI tools in its documentation or governance?
Does the project's README, website, or contributing guide explicitly mention if AI is used in the development process?","Are you aware of any specific AI policies governing your project(s)?
Whether at the project or org level, are there rules you are expected to follow?","If yes, which policy does your project have?
Please describe the current ""vibe"" or official stance on AI tools in your project(s).","If yes, could you provide link to the repository/policy?","How do you currently use AI in your workflow? Select all that apply.
Please categorize your level of AI interaction from simple external queries to fully integrated automation.","Which AI tools do you use most frequently for project work? Tell us your ""stack"" (e.g., GitHub Copilot, ChatGPT, KubeGPT, etc.).",Where is your projects integrating AI-powered tools? Identify where AI is being used as a project-wide utility rather than just an individual's personal tool.,"In your opinion, in which areas has AI been most helpful? (Select all that apply) Where are you seeing the biggest ""productivity wins"" or quality improvements?","Do you believe AI-assisted contributions should require disclosure in pull requests? We are seeking community sentiment on whether ""AI-authored"" tags should be a standard requirement for transparency.","When reviewing pull requests from new contributors in your CNCF project, what challenges or concerns do you encounter if the submitted code appears to be partially or fully generated using AI tools?
As a reviewer, how do you handle the influx of code that may not have been written by a human?","What is your biggest concern regarding AI usage in CNCF projects?
From legal liability to the ""noise"" of low-quality PRs, what keeps you up at night?",Anything else you’d like to share on the topic? Use this space for any nuances we might have missed in the multiple-choice questions.
Argo and Lima,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",Less than 6 months,"Yes, most but not all",No,AI usage is allowed (but only specific tools),,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",,"Code Reviews, Issue Triaging","Writing/Improving Documentation, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",It doesn’t apply to me,"Security vulnerabilities, High volume of low-effort issues or PRs",
MetalLB,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","I mostly use claude code, but we integrated gemini for code reviews",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting","Yes, in some cases",I try to validate the quality of the contribution and close it upfront if it's too bloated,High volume of low-effort issues or PRs,
Kubernetes,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Copilot, Claude Code",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload",
KubeVela,"Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",1 year - 2 years,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Claude Code ",It doesn't,"Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",It doesn’t apply to me,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
containerd,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,"Yes, but most do not",Yes,AI usage is allowed (any tool is ok),https://github.com/containerd/containerd/commit/ac48063835ccf894edec168f9292e4cb71a1558a,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",gemini-cli & Antigravity,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
Openkruise,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",6 months - 1 year,"Yes, but most do not",Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",CLAUDE,"Code Reviews, Issue Triaging, CI/CD, It doesn't","Writing/Refactoring Code, Writing/Improving Documentation, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Security vulnerabilities, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
OpenChoreo,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",Claude code,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Code Reviews / Pull Requests Analysis",No,We follow the usual PR review process,High volume of low-effort issues or PRs,
OpenTelemetry,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,"Yes, but most do not",Yes,AI usage is allowed (any tool is ok),https://github.com/open-telemetry/opentelemetry-ecosystem-explorer,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.","GitHub Copilot, Claude","the project uses Faro for telemetry and has an AI contribution policy, but doesn't integrate AI into code reviews, issue triaging, or CI/CD itself.",Understanding the codebase,"Yes, in some cases",It doesn’t apply to me,"High volume of low-effort issues or PRs, Impact on community health and contributor growth",
"knative,openckruise,urunc","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",6 months - 1 year,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",github copilot,CI/CD,"Managing CI/CD or Infrastructure, Community Management / Communication, Understanding the codebase","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,High volume of low-effort issues or PRs,
Kubescape,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,No,Yes,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",Claude Code,Code Reviews,"Writing/Refactoring Code, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",It doesn’t apply to me,Reviewer or maintainer workload,
Confidential Containers,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.",,Code Reviews,"not particularly helpful ",Unsure,We don’t reject it but we ask the developer to improve the PR,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",The bottleneck for our project is code review. Experienced contributors can generate high-quality issues and PRs with AI but new contributors usually cannot. We waste time with issues and PRs blindly generated by AI.
KubeFleet,"Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",6 months - 1 year,"Yes, all",Yes,AI usage is allowed (any tool is ok),https://github.com/kubefleet-dev/kubefleet-headlamp-plugin/blob/main/CONTRIBUTING.md#ai-assisted-contributions,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","GitHub Copilot, Anthropic Claude",Code Reviews,"Writing/Refactoring Code, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",It doesn’t apply to me,"Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
"Karmada-io, Antrea","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,"Yes, most but not all",No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance.","Claude, Kimi, ChatGPT, GitHub",Code Reviews,"Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We don’t reject it but we ask the developer to improve the PR,"High volume of low-effort issues or PRs, Impact on community health and contributor growth","I think it should be okay to use but the pr also be of high quality. If there's a low quality pr with too much ai usage the maintainer of the project should reject it.
"
hyperlight,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,No,AI usage is allowed (any tool is ok),,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Copilot,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",We don’t reject it but we ask the developer to improve the PR,"Reviewer or maintainer workload, High volume of low-effort issues or PRs",
Argo CD,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",1 year - 2 years,"Yes, but most do not",No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",Claude Code,"Code Reviews, Issue Triaging","Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,High volume of low-effort issues or PRs,"AI is here to stay, and we will need a lot of effort to optimize for AI era where code is plenty and cheap"
LitmusChaos,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure), Non-Code / Ecosystem: Release Team, Documentation, Comms/Marketing",2 years+,No,No,No policies exist,,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).",GitHub Copilot,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, always",We follow the usual PR review process,"Security vulnerabilities, Reviewer or maintainer workload, High volume of low-effort issues or PRs",
LitmusChaos,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,No,Yes,AI usage is allowed (any tool is ok),https://github.com/litmuschaos/litmus,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Cursor, Claude Code.",It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Understanding the codebase","Yes, always",We follow the usual PR review process,Impact on community health and contributor growth,
HAMi,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",1 year - 2 years,"Yes, most but not all",Yes,AI usage is allowed (any tool is ok),https://github.com/Project-HAMi/HAMi/blob/master/CONTRIBUTING.md#ai-assistance-notice,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions)., High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).","Gemini CLI, KImi Code CLI, Goose",Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Managing CI/CD or Infrastructure, Understanding the codebase","Yes, always",The developer doesn't fullly understand the code in PR,"Security vulnerabilities, License / legal compliance, Reviewer or maintainer workload",
Kepler,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,No,Yes,AI usage is allowed (any tool is ok),https://www.linuxfoundation.org/legal/generative-ai,"Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","Copilot, Some AutoGen Agents",Don't know for sure,"Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Understanding the codebase","Yes, always",It doesn’t apply to me,"Security vulnerabilities, License / legal compliance, High volume of low-effort issues or PRs",
OpenFeature,"Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",2 years+,"Yes, but most do not",Yes,No policies exist,,"High (End-to-End): AI is integrated into the project's automation (e.g., AI-generated PR reviews, automated issue triaging, or CI-integrated bots).",Gemini,Code Reviews,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Managing CI/CD or Infrastructure, Code Reviews / Pull Requests Analysis","Yes, in some cases",We follow the usual PR review process,"Reviewer or maintainer workload, High volume of low-effort issues or PRs, Impact on community health and contributor growth",
"Headlamp, Kmesh, and the broader Kubernetes/CNCF ecosystem through documentation, frontend development, and contributor onboarding improvements.","Code-Centric: Developer (Code submission), DevOps (CI/CD, Infrastructure)",Less than 6 months,"Yes, most but not all",No,No policies exist,,"Low (Chatbot): I copy/paste code or text into a web-based LLM (e.g., ChatGPT, Claude) for assistance., Intermediate (AI Assistant): I use an AI assistant directly inside my personal development environment or CLI (e.g., GitHub Copilot, Claude Code, Cursor, IBM Bob, IDE extensions).","ChatGPT, GitHub Copilot, Claude ",It doesn't,"Writing/Refactoring Code, Writing/Improving Documentation, Debugging and Troubleshooting, Understanding the codebase, Code Reviews / Pull Requests Analysis","Yes, in some cases",It doesn’t apply to me,High volume of low-effort issues or PRs,"AI is a useful productivity tool for learning, debugging, documentation, and understanding large codebases. However, contributors should remain responsible for the code they submit and be able to explain, maintain, and improve it during code review. In my experience as a newer CNCF contributor, AI is most valuable when used as an assistant rather than a replacement for understanding the project and its development practices."
